Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
15.889,613.261,679.0143333,501.3296667,425.8636667,561.3863333,503.3296667,493.294,453.9353333,652.9456667,703.8693333,593.6593333,643.7936667,548.9273333,506.685
16.116,622.627,678.8033333,501.7573333,420.3866667,556.062,528.193,497.412,447.8433333,652.2256667,737.8583333,620.2603333,648.9843333,555.158,494.5463333
16.343,634.5613333,662.5806667,495.909,436.5453333,568.7793333,519.09,493.5833333,424.2343333,652.675,712.5233333,618.1506667,645.6846667,561.6113333,519.0266667
16.57,632.3553333,668.2236667,501.4036667,460.1783333,558.5046667,503.216,498.2843333,438.1173333,634.4543333,715.8323333,610.5336667,657.3723333,574.9366667,537.1213333
16.797,642.641,674.177,497.918,468.7426667,511.0753333,510.7503333,496.2596667,460.6486667,623.928,716.842,611.843,678.7916667,567.651,559.663
17.024,638.5323333,653.9066667,492.6366667,459.7083333,500.9763333,526.259,508.7253333,455.9273333,605.6406667,715.2783333,613.3906667,667.8276667,536.5913333,497.3766667
17.251,621.4656667,654.1943333,492.0073333,451.6893333,534.4363333,539.9656667,524.534,446.5766667,641.3606667,744.563,614.9573333,653.7453333,541.824,512.6253333
17.478,607.7423333,649.2103333,487.781,438,523.561,529.2393333,507.2256667,434.9283333,661.0043333,754.577,617.9463333,650.3006667,550.1796667,489.4093333
17.705,622.769,667.2296667,489.933,435.2123333,524.5053333,507.367,494.196,456.1896667,645.914,741.426,622.6653333,640.1856667,554.3506667,497.132
17.932,628.3663333,681.7293333,496.1256667,449.0796667,539.1486667,513.8026667,498.294,456.898,647.1063333,737.3363333,618.836,651.23,548.3896667,479.761
18.159,637.1573333,683.1356667,500.7413333,468.227,552.8323333,512.612,507.5586667,431.2643333,640.6576667,734.2816667,606.5796667,642.9456667,530.5093333,524.1176667
18.386,643.7266667,699.993,498.3833333,468.875,552.2756667,491.5383333,514.745,432.552,645.5496667,719.0066667,607.2626667,640.7033333,549.0133333,509.1723333
18.613,638.2853333,694.559,485.1733333,464.091,513.9143333,491.6096667,505.0293333,431.129,659.1683333,706.5823333,619.7056667,673.4673333,546.4773333,512.6236667
18.84,638.4863333,684.068,479.4643333,470.019,496.224,523.6483333,496.8923333,413.1476667,666.115,723.7616667,643.454,653.4753333,545.892,525.403
19.067,636.0896667,679.454,503.1806667,471.28,526.1123333,531.2433333,496.892,405.8373333,689.97,708.2356667,659.569,632.9413333,552.9693333,516.5206667
19.294,639.6256667,688.24,502.0063333,466.6403333,531.755,500.8626667,495.8333333,426.8746667,654.9006667,709.3576667,641.494,638.6636667,560.898,535.732
