Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,mCherry_gray_avg_wd1,mCherry_gray_avg_wd2,mCherry_gray_avg_wd3,mCherry_gray_avg_wd5,mCherry_gray_avg_wd6,mCherry_gray_avg_wd6,mCherry_gray_avg_wd8
50.845,827.1233333,657.5293333,544.1706667,557.265,508.1656667,600.547,526.1813333,452.7583333,,,,,,,
51.072,824.1256667,666.214,556.1176667,561.265,511.018,598.3716667,529.314,462.5243333,,,,,,,
51.299,829.6073333,669.8923333,564.7783333,553.2576667,520.4676667,601.5113333,521.495,476.7276667,,,,,,,
51.525,838.391,663.3256667,567.4543333,537.7993333,552.2203333,609.91,494.2156667,456.4216667,,,,,,,
51.752,847.771,636.5576667,548.1323333,535.826,540.1736667,620.1443333,500.6616667,476.651,,,,,,,
51.979,848.7313333,655.364,524.5566667,544.7686667,518.6796667,624.0216667,534.6276667,494.4106667,,,,,,,
52.206,837.8666667,698.573,542.309,544.712,502.2393333,614.9356667,539.6863333,476.3893333,,,,,,,
52.433,829.2403333,700.8876667,563.3756667,531.5416667,520.4573333,601.142,524.392,458.6056667,,,,,,,
52.66,833.707,691.6666667,557.432,543.288,519.3036667,598.1316667,522.8086667,453.2543333,,,,,,,
52.887,860.8133333,686.5283333,549.0723333,552.6363333,532.28,631.3783333,540.9706667,472.7846667,,,,,,,
53.114,862.59,669.1126667,567.382,555.6366667,544.0646667,647.545,545.049,459.613,,,,,,,
53.341,846.9253333,662.116,571.459,565.1933333,549.332,632.885,528.1763333,468.7816667,,,,,,,
53.568,857.1883333,692.5446667,550.11,558.0983333,548.57,639.8013333,531.402,470.2976667,,,,,,,
53.795,843.86,702.926,564.2996667,549.269,583.0053333,636.4326667,530.696,507.378,,,,,,,
54.022,843.2916667,696.438,561.8786667,548.606,559.5886667,605.681,532.6666667,468.3573333,,,,,,,
54.249,848.755,681.7586667,550.3686667,554.091,542.2653333,613.9083333,530.0096667,444.8713333,,,,,,,
