"","disc1-WT-Avg","disc2-WT-Avg","disc3-WT-Avg","disc4-WT-Avg","disc5-WT-Avg","disc6-WT-Avg","disc7-WT-Avg","disc8-WT-Avg","disc10-WT-Avg","disc11-WT-Avg","disc12-WT-Avg","disc13-WT-Avg","disc15-WT-Avg"
"160",844.3265,699.973,959.18,527.932,569.5,777,1112.852,814.3065,586.2555,596,495.8855,412,421.949
"161",777.5695,768.9795,826.9895,585.029,654,813.5,1151.7265,933.204,696.381,570,517.221,465.5,360.9235
"162",780.425,771.7145,880.9285,488.5205,540.5,793,1171.8285,823.017,717.888,490.5,391.059,457,310.2415
"163",858.816,832.16,990.7075,519.709,713,733,1175.051,894.6295,602.898,544,504.5335,378.5,299.699
"164",837.442,896.905,970.7245,553.6055,551.5,879,1225.648,856.0475,682.7385,487.5,498.2105,485.5,408.9555
"165",840.117,762.143,987.5595,631.2145,583,708.5,1130.8895,1006.466,852.3455,409,495.3775,551.5,390.3825
"166",946.4965,841.7365,876.7925,526.211,578.5,814,1241.954,1011.8455,893.6735,524.5,577.2105,524,377.1835
"167",867.835,824.6125,1037.9845,576.6465,636.5,868.5,1396.308,1086.9285,844.4575,646,508.408,552.5,471.8875
"168",905.8705,905.893,1152.1055,608.9625,556.5,809,1356.6445,1037.3795,904.1905,729,561.042,503.5,420.694
"169",873.828,897.034,1045.3095,652.7125,658.5,706.5,1229.2755,1114.888,901.388,746,599.4115,612,487.9895
"170",929.2685,1099.694,1089.1735,715.677,676.5,730,1329.825,1104.9115,950.8095,581,643.653,602.5,459.1055
"171",831.029,946.7345,1252.0085,738.578,696,864,1254.665,1042.8335,957.694,563.5,571.003,691,515.209
"172",906.6155,937.0835,1202.1225,700.8165,563,889,1424.689,1020.2485,1001.49,673.5,647.422,608.5,576.704
"173",970.3095,1028.9255,1207.1225,702.825,621,807.5,1489.9815,955.8575,1191.2025,676,587.7275,516.5,546.556
"174",1011.7955,1018.5665,1274.2245,766.027,677.5,826.5,1409.869,1004.762,1120.5785,647,665.6035,527,519.2345
"175",911.75,848.2995,1183.119,722.658,632.5,823,1393.6175,1155.133,1187.7145,750.5,543.792,529,446.6275
"176",801.197,949.529,1152.643,885.9625,718.5,937.5,1506.359,1211.6735,1284.2415,712.5,751.5815,494.5,474.1565
"177",894.2325,978.8165,1292.2905,776.398,634.5,870,1340.682,1157.762,1185.4425,713,633.694,652.5,471.17
"178",989.102,1089.427,1176.061,851.881,672.5,932.5,1504.954,1150.8455,1232.8675,675,777.294,594,488.5
